early_watch_score,homebuyer_fit_category,auction_year,parcel_number,situs_address,use_description,use_code,bed_bath_status,land_value,improvement_value,total_assessed_value,assessed_value_caution,amount_due,tax_years,certificate_listed_flag,publication_listed_flag,final_order_flag,sold_flag,current_stage_note,homebuyer_fit_note,next_due_diligence_step,ocr_review_required_flag,ocr_repair_applied_flag,ocr_review_reasons,source_page_refs,source_filenames
65,Likely residential home,2026,00557600002100,"21402 118TH PL NE GRANITE FALLS, WA 98252-9555",Manufactured Home (Owned Site) -Real,118.0,Not yet loaded; future assessor enrichment needed.,248800.0,19500.0,268300.0,Moderate assessed-value signal; verify market value and financing constraints.,,"2023 - 2024 - 2025 - 2026 Amount due as of May 14th, 2026: $10,971.26",True,False,False,False,Certificate-stage only so far; monitor for publication/final-order movement.,"Potentially closest to first-time-homebuyer house target; verify bedrooms, bathrooms, condition, occupancy, and financing constraints.","Look up parcel in Assessor/SCOPI; verify situs, property class, beds/baths, building sqft, year built, occupancy, access, utilities/septic, liens, and whether the parcel remains active.",False,False,,05_ 051426- Certificate of Delinquency (1).pdf:p17-18,05_ 051426- Certificate of Delinquency (1).pdf
65,Likely residential home,2026,00437043503102,"1612 21ST ST EVERETT, WA 98201-2818",Single Family Residence - Detached -Real,111.0,Not yet loaded; future assessor enrichment needed.,278500.0,34400.0,312900.0,Moderate assessed-value signal; verify market value and financing constraints.,,"2023 - 2024 - 2025 - 2026 Amount due as of May 14th, 2026: $14,072.39",True,False,False,False,Certificate-stage only so far; monitor for publication/final-order movement.,"Potentially closest to first-time-homebuyer house target; verify bedrooms, bathrooms, condition, occupancy, and financing constraints.","Look up parcel in Assessor/SCOPI; verify situs, property class, beds/baths, building sqft, year built, occupancy, access, utilities/septic, liens, and whether the parcel remains active.",False,False,,05_ 051426- Certificate of Delinquency (1).pdf:p8,05_ 051426- Certificate of Delinquency (1).pdf
65,Likely residential home,2026,00518400900100,"845 SAUK AVE DARRINGTON, WA 98241",Single Family Residence - Detached -Real,111.0,Not yet loaded; future assessor enrichment needed.,202000.0,127300.0,329300.0,Moderate assessed-value signal; verify market value and financing constraints.,,"2022 - 2023 - 2024 - 2025 - 2026 Amount due as of May 14th, 2026: $13,737.78",True,False,False,False,Certificate-stage only so far; monitor for publication/final-order movement.,"Potentially closest to first-time-homebuyer house target; verify bedrooms, bathrooms, condition, occupancy, and financing constraints.","Look up parcel in Assessor/SCOPI; verify situs, property class, beds/baths, building sqft, year built, occupancy, access, utilities/septic, liens, and whether the parcel remains active.",False,False,,05_ 051426- Certificate of Delinquency (1).pdf:p15,05_ 051426- Certificate of Delinquency (1).pdf
65,Likely residential home,2026,00627300005700,"17217 116TH PL NE ARLINGTON, WA 98223-7984",Manufactured Home (Owned Site) -Real,118.0,Not yet loaded; future assessor enrichment needed.,232200.0,134900.0,367100.0,Moderate assessed-value signal; verify market value and financing constraints.,,"2023 - 2025 - 2026 Amount due as of May 14th, 2026: $10,272.50",True,False,False,False,Certificate-stage only so far; monitor for publication/final-order movement.,"Potentially closest to first-time-homebuyer house target; verify bedrooms, bathrooms, condition, occupancy, and financing constraints.","Look up parcel in Assessor/SCOPI; verify situs, property class, beds/baths, building sqft, year built, occupancy, access, utilities/septic, liens, and whether the parcel remains active.",False,False,,05_ 051426- Certificate of Delinquency (1).pdf:p22,05_ 051426- Certificate of Delinquency (1).pdf
65,Likely residential home,2026,00589700001400,"4430 SUNNYSIDE BLVD MARYSVILLE, WA 98270-7510",Single Family Residence - Detached -Real,111.0,Not yet loaded; future assessor enrichment needed.,291600.0,84400.0,376000.0,Moderate assessed-value signal; verify market value and financing constraints.,,"2023 - 2024 - 2025 - 2026 Amount due as of May 14th, 2026: $12,806.41",True,False,False,False,Certificate-stage only so far; monitor for publication/final-order movement.,"Potentially closest to first-time-homebuyer house target; verify bedrooms, bathrooms, condition, occupancy, and financing constraints.","Look up parcel in Assessor/SCOPI; verify situs, property class, beds/baths, building sqft, year built, occupancy, access, utilities/septic, liens, and whether the parcel remains active.",False,False,,05_ 051426- Certificate of Delinquency (1).pdf:p19,05_ 051426- Certificate of Delinquency (1).pdf
65,Likely residential home,2026,00437582803200,"3406 NASSAU ST EVERETT, WA 98201-4143",2 Single Family Residences -Real,112.0,Not yet loaded; future assessor enrichment needed.,337100.0,46400.0,383500.0,Moderate assessed-value signal; verify market value and financing constraints.,,"2023 - 2024 - 2025 - 2026 Amount due as of May 14th, 2026: $15,636.50",True,False,False,False,Certificate-stage only so far; monitor for publication/final-order movement.,"Potentially closest to first-time-homebuyer house target; verify bedrooms, bathrooms, condition, occupancy, and financing constraints.","Look up parcel in Assessor/SCOPI; verify situs, property class, beds/baths, building sqft, year built, occupancy, access, utilities/septic, liens, and whether the parcel remains active.",False,False,,05_ 051426- Certificate of Delinquency (1).pdf:p9,05_ 051426- Certificate of Delinquency (1).pdf
65,Likely residential home,2026,00461801100700,"510 E GILMAN AVE ARLINGTON, WA 98223-1131",Single Family Residence - Detached -Real,111.0,Not yet loaded; future assessor enrichment needed.,276000.0,109200.0,385200.0,Moderate assessed-value signal; verify market value and financing constraints.,,"2023 - 2024 - 2025 - 2026 Amount due as of May 14th, 2026: $14,242.54",True,False,False,False,Certificate-stage only so far; monitor for publication/final-order movement.,"Potentially closest to first-time-homebuyer house target; verify bedrooms, bathrooms, condition, occupancy, and financing constraints.","Look up parcel in Assessor/SCOPI; verify situs, property class, beds/baths, building sqft, year built, occupancy, access, utilities/septic, liens, and whether the parcel remains active.",False,False,,05_ 051426- Certificate of Delinquency (1).pdf:p10-11,05_ 051426- Certificate of Delinquency (1).pdf
65,Likely residential home,2026,00406700001500,"5233 144TH PL NE MARYSVILLE, WA 98271-9231",Single Family Residence - Detached -Real,111.0,Not yet loaded; future assessor enrichment needed.,301000.0,93600.0,394600.0,Moderate assessed-value signal; verify market value and financing constraints.,,"2022 - 2023 - 2024 - 2025 - 2026 Amount due as of May 14th, 2026: $18,458.07",True,False,False,False,Certificate-stage only so far; monitor for publication/final-order movement.,"Potentially closest to first-time-homebuyer house target; verify bedrooms, bathrooms, condition, occupancy, and financing constraints.","Look up parcel in Assessor/SCOPI; verify situs, property class, beds/baths, building sqft, year built, occupancy, access, utilities/septic, liens, and whether the parcel remains active.",False,False,,05_ 051426- Certificate of Delinquency (1).pdf:p7,05_ 051426- Certificate of Delinquency (1).pdf
65,Likely residential home,2026,00711000001000,"911 TIMBER LN GOLD BAR, WA 98251-9284",Single Family Residence - Detached -Real,111.0,Not yet loaded; future assessor enrichment needed.,228000.0,169000.0,397000.0,Moderate assessed-value signal; verify market value and financing constraints.,,"2023 - 2025 - 2026 Amount due as of May 14th, 2026: $8,506.18",True,False,False,False,Certificate-stage only so far; monitor for publication/final-order movement.,"Potentially closest to first-time-homebuyer house target; verify bedrooms, bathrooms, condition, occupancy, and financing constraints.","Look up parcel in Assessor/SCOPI; verify situs, property class, beds/baths, building sqft, year built, occupancy, access, utilities/septic, liens, and whether the parcel remains active.",False,False,,05_ 051426- Certificate of Delinquency (1).pdf:p24,05_ 051426- Certificate of Delinquency (1).pdf
65,Likely residential home,2026,00443346500400,"2209 WALNUT ST EVERETT, WA 98201-2612",Single Family Residence - Detached -Real,111.0,Not yet loaded; future assessor enrichment needed.,300800.0,109100.0,409900.0,Moderate assessed-value signal; verify market value and financing constraints.,,"2022 - 2023 - 2024 - 2025 - 2026 Amount due as of May 14th, 2026: $18,722.26",True,False,False,False,Certificate-stage only so far; monitor for publication/final-order movement.,"Potentially closest to first-time-homebuyer house target; verify bedrooms, bathrooms, condition, occupancy, and financing constraints.","Look up parcel in Assessor/SCOPI; verify situs, property class, beds/baths, building sqft, year built, occupancy, access, utilities/septic, liens, and whether the parcel remains active.",False,False,,05_ 051426- Certificate of Delinquency (1).pdf:p10,05_ 051426- Certificate of Delinquency (1).pdf
