buyer_display_name,buyer_hash,purchase_count,first_purchase_year,most_recent_purchase_year,years_active,total_winning_bids,median_winning_bid,median_bid_multiple,max_bid_multiple,repeat_buyer_flag
Buyer 001,dde158a3a5df,6,2019,2022,3,17291.57,2405.34,1.0,1.0,True
Buyer 002,f416bf976bb4,5,2019,2019,1,167301.0,30300.0,8.9559,13.98,True
Buyer 003,cf8a2c820acd,4,2025,2025,1,110946.0,33150.0,10.09845,11.5449,True
Buyer 004,8c63b51d0bc6,3,2021,2021,1,33801.0,13100.0,5.8067,5.9681,True
Buyer 005,aa4a9066e044,3,2019,2019,1,4849.0,1522.0,1.0,1.0,True
Buyer 006,0144b7ba836c,2,2025,2025,1,610701.0,305350.5,9.44975,11.0021,True
Buyer 007,8f1daeb75306,2,2021,2021,1,259400.0,129700.0,14.93575,16.8218,True
Buyer 008,6066a0d96f19,2,2023,2023,1,248201.0,124100.5,53.6254,86.7736,True
Buyer 009,d040d159e71c,2,2019,2020,2,240200.0,120100.0,10.28475,18.2886,True
Buyer 010,f5fa8e033989,2,2020,2020,1,175900.0,87950.0,9.40915,9.9957,True
Buyer 011,cec7793470f5,2,2020,2020,1,112088.0,56044.0,10.3533,13.0216,True
Buyer 012,07c7445f5901,2,2024,2024,1,100392.0,50196.0,18.96905,21.3864,True
Buyer 013,28c84a794bf5,2,2019,2023,2,66101.0,33050.5,4.08765,6.2347,True
Buyer 014,edbfb093f50a,2,2019,2023,2,53195.0,26597.5,7.1464,13.2928,True
Buyer 015,95301cbc4056,2,2020,2020,1,51383.0,25691.5,1.83705,2.6741,True
Buyer 016,b0002d35da98,2,2021,2021,1,35501.0,17750.5,5.19945,6.9253,True
Buyer 017,584246c33bf0,2,2023,2023,1,30800.0,15400.0,3.84905,6.2296,True
Buyer 018,249780192b51,2,2019,2019,1,17101.0,8550.5,4.74625,5.3879,True
Buyer 019,604bee77e579,2,2019,2019,1,5102.0,2551.0,1.20745,1.4149,True
Buyer 020,8e1efc617a6f,1,2024,2024,1,599700.0,599700.0,20.8512,20.8512,False
