source_filename,source_page,ocr_character_count,parcel_anchor_candidates,empty_ocr_flag
2019 FINAL Order of Sale.pdf,1,1762,0,False
2019 FINAL Order of Sale.pdf,2,2211,0,False
2019 FINAL Order of Sale.pdf,3,1068,0,False
2019 FINAL Order of Sale.pdf,4,2270,0,False
2019 FINAL Order of Sale.pdf,5,2579,0,False
2019 FINAL Order of Sale.pdf,6,2533,0,False
2019 FINAL Order of Sale.pdf,7,1823,0,False
2019 FINAL Order of Sale.pdf,8,2255,0,False
2019 FINAL Order of Sale.pdf,9,1965,0,False
2019 FINAL Order of Sale.pdf,10,2315,0,False
2019 FINAL Order of Sale.pdf,11,2552,0,False
2019 FINAL Order of Sale.pdf,12,2222,0,False
2019 FINAL Order of Sale.pdf,13,2059,0,False
2019 FINAL Order of Sale.pdf,14,2117,0,False
2019 FINAL Order of Sale.pdf,15,2235,0,False
2019 FINAL Order of Sale.pdf,16,2369,0,False
2019 FINAL Order of Sale.pdf,17,1977,0,False
2019 FINAL Order of Sale.pdf,18,2680,0,False
2019 FINAL Order of Sale.pdf,19,1940,0,False
2019 FINAL Order of Sale.pdf,20,2421,0,False
2019 FINAL Order of Sale.pdf,21,854,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,1,1760,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,2,2361,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,3,1345,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,4,31,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,5,3031,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,6,3201,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,7,2869,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,8,2730,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,9,3522,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,10,3051,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,11,3241,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,12,2991,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,13,3293,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,14,3295,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,15,3172,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,16,3342,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,17,3062,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,18,3293,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,19,3531,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,20,3044,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,21,3509,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,22,3835,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,23,3616,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,24,3541,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,25,3400,0,False
2020 FINAL ORDER OF SALE 11 17 2020.pdf,26,318,0,False
2021 FINAL ORDER OF SALE scan.pdf,1,1757,0,False
2021 FINAL ORDER OF SALE scan.pdf,2,2187,0,False
2021 FINAL ORDER OF SALE scan.pdf,3,1055,0,False
2021 FINAL ORDER OF SALE scan.pdf,4,9,0,False
2021 FINAL ORDER OF SALE scan.pdf,5,2164,0,False
2021 FINAL ORDER OF SALE scan.pdf,6,2261,0,False
2021 FINAL ORDER OF SALE scan.pdf,7,2477,0,False
2021 FINAL ORDER OF SALE scan.pdf,8,2030,0,False
2021 FINAL ORDER OF SALE scan.pdf,9,2100,0,False
2021 FINAL ORDER OF SALE scan.pdf,10,2444,0,False
2021 FINAL ORDER OF SALE scan.pdf,11,2155,0,False
2021 FINAL ORDER OF SALE scan.pdf,12,2302,0,False
2021 FINAL ORDER OF SALE scan.pdf,13,2075,0,False
2021 FINAL ORDER OF SALE scan.pdf,14,2155,0,False
2021 FINAL ORDER OF SALE scan.pdf,15,2383,0,False
2021 FINAL ORDER OF SALE scan.pdf,16,1986,0,False
2021 FINAL ORDER OF SALE scan.pdf,17,2054,0,False
2021 FINAL ORDER OF SALE scan.pdf,18,2742,0,False
2021 FINAL ORDER OF SALE scan.pdf,19,2055,0,False
2021 FINAL ORDER OF SALE scan.pdf,20,2858,0,False
2021 FINAL ORDER OF SALE scan.pdf,21,2740,0,False
2021 FINAL ORDER OF SALE scan.pdf,22,2371,0,False
2021 FINAL ORDER OF SALE scan.pdf,23,2661,0,False
2021 FINAL ORDER OF SALE scan.pdf,24,2442,0,False
2021 FINAL ORDER OF SALE scan.pdf,25,2578,0,False
2021 FINAL ORDER OF SALE scan.pdf,26,2418,0,False
2021 FINAL ORDER OF SALE scan.pdf,27,2783,0,False
2021 FINAL ORDER OF SALE scan.pdf,28,2248,0,False
2022 FILED Final Order of Sale.pdf,1,1783,0,False
2022 FILED Final Order of Sale.pdf,2,2212,0,False
2022 FILED Final Order of Sale.pdf,3,1029,0,False
2022 FILED Final Order of Sale.pdf,4,13,0,False
2022 FILED Final Order of Sale.pdf,5,2159,0,False
2022 FILED Final Order of Sale.pdf,6,2279,0,False
2022 FILED Final Order of Sale.pdf,7,2114,0,False
2022 FILED Final Order of Sale.pdf,8,2656,0,False
2022 FILED Final Order of Sale.pdf,9,2294,0,False
2022 FILED Final Order of Sale.pdf,10,2193,0,False
2022 FILED Final Order of Sale.pdf,11,2134,0,False
2022 FILED Final Order of Sale.pdf,12,2085,0,False
